,Cell name,Sampling rate,stim_start,stim_end,E_rest_0,E_rest_m50,E_rest_m25,E_rest_150,E_rest_300,Input resistance,Cell capacitance,Time constant,Equalization time,sagSS_m50,sagV_m50,sagrat_m50,freq_0,AP1_amp_1.5e-10,APp_amp_1.5e-10,AP1_time_1.5e-10,APp_time_1.5e-10,APavgpratio_amp_1.5e-10,AP1_width_1.5e-10,APp_width_1.5e-10,AP1_thresh_1.5e-10,APp_thresh_1.5e-10,AP1_lat_1.5e-10,ISI1_1.5e-10,ISIl_1.5e-10,ISIavg_1.5e-10,ISImedian_1.5e-10,freq_1.5e-10,Adptn_id_1.5e-10,fAHP_AP1_amp_1.5e-10mAHP_stimend_amp_1.5e-10,sAHP_stimend_amp_1.5e-10,AHP_AP1_amp_1.5e-10,AHP_APp_amp_1.5e-10,AHP_AP1_time_1.5e-10,AHP_APp_time_1.5e-10,Upstroke_AP1_time_1.5e-10,Upstroke_APp_time_1.5e-10,Upstroke_AP1_amp_1.5e-10,Upstroke_APp_amp_1.5e-10,Upstroke_AP1_value_1.5e-10,Upstroke_APp_value_1.5e-10,Downstroke_AP1_time_1.5e-10,Downstroke_APp_time_1.5e-10,Downstroke_AP1_amp_1.5e-10,Downstroke_APp_amp_1.5e-10,Downstroke_AP1_value_1.5e-10,Downstroke_APp_value_1.5e-10,UpDn_AP1_ratio_1.5e-10,UpDn_APp_ratio_1.5e-10,UpThr_AP1_diff_1.5e-10,UpThr_APp_diff_1.5e-10,DBLO_1.5e-10,DBL_1.5e-10,AP1_amp_3e-10,APp_amp_3e-10,AP1_time_3e-10,APp_time_3e-10,APavgpratio_amp_3e-10,AP1_width_3e-10,APp_width_3e-10,AP1_thresh_3e-10,APp_thresh_3e-10,AP1_lat_3e-10,ISI1_3e-10,ISIl_3e-10,ISIavg_3e-10,ISImedian_3e-10,freq_3e-10,Adptn_id_3e-10,fAHP_AP1_amp_3e-10mAHP_stimend_amp_3e-10,sAHP_stimend_amp_3e-10,AHP_AP1_amp_3e-10,AHP_APp_amp_3e-10,AHP_AP1_time_3e-10,AHP_APp_time_3e-10,Upstroke_AP1_time_3e-10,Upstroke_APp_time_3e-10,Upstroke_AP1_amp_3e-10,Upstroke_APp_amp_3e-10,Upstroke_AP1_value_3e-10,Upstroke_APp_value_3e-10,Downstroke_AP1_time_3e-10,Downstroke_APp_time_3e-10,Downstroke_AP1_amp_3e-10,Downstroke_APp_amp_3e-10,Downstroke_AP1_value_3e-10,Downstroke_APp_value_3e-10,UpDn_AP1_ratio_3e-10,UpDn_APp_ratio_3e-10,UpThr_AP1_diff_3e-10,UpThr_APp_diff_3e-10,DBLO_3e-10,DBL_3e-10,freq300to150ratio,fAHP_AP1_amp_1.5e-10,fAHP_APp_amp_1.5e-10,fAHP_AP1_amp_3e-10,fAHP_APp_amp_3e-10,CellID
4,2023_01_04_0025.abf,20000.0,0.3469,0.8469,-0.08221039,-0.08206849,-0.082135625,-0.08270357703944953,-0.08362324169321879,147275874.8547081,1.7402028141435962e-10,0.022963072080575745,0.0008697866581498541,-0.08748536,0.0019469236255479083,0.35941855415185275,0,0.09812107225331893,0.07545584047661354,0.025700000000005843,0.43720578176312885,0.8906824157057955,0.000800000000000182,0.0009000000000002047,-0.0624681109109955,-0.05418272293001776,0.025305781763035162,0.019600000000004458,0.033300000000007574,0.02616470588235889,0.026500000000006026,36,0.016593760456023232,,,,,,,,,,,,,,,,,,,,,,,0.02034425147061346,-0.06235932556883607,,,0.009300000000002116,0.4406057817631296,,,,-0.06415850250243081,-0.04443024312331295,0.008905781763031417,0.00730000000000166,0.026300000000005982,0.019066666666671003,0.017350000000003946,50,0.021710160171921462,,,,,,,,,,,,,,,,,,,,,,,0.028000607459436527,-0.054702969580013,1.3888888888888888,0.00630999333705099,0.004063795768223436,0.004686689758311687,0.0005200020002211545,2023_01_04_cell_5
5,2023_01_04_0029.abf,20000.0,0.3469,0.8469,-0.078684084,-0.07895417,-0.07886414,-0.0788805467008684,-0.08019704794000014,143189258.3408827,9.860529081661881e-11,0.0094809991732995,0.0006242950244593411,-0.086006775,0.00010685508270499855,0.015151144826842808,0,0.04667484875683044,0.0434528301919915,0.038500000000008756,0.4238057817631258,0.9800095633335822,0.0013000000000002957,0.0014000000000003183,-0.05241452875476506,-0.04887468884346232,0.03770578176303796,0.018100000000004116,0.04380000000000996,0.03900909090909978,0.03940000000000896,24,0.026544258421219127,,,,,,,,,,,,,,,,,,,,,,,0.02665928145578668,-0.05222126524508172,0.044708833980510704,0.038688658821358385,0.014100000000003205,0.4694057817631362,0.9507032545521436,0.0013000000000002957,0.0014000000000003183,-0.042784214019719935,-0.03411987457133096,0.013305781763032432,0.006300000000001433,0.0255000000000058,0.02003333333333789,0.02125000000000483,50,0.019500654022641842,,,,,,,,,,,,,,,,,,,,,,,0.039487419125130784,-0.03939312757573762,2.0833333333333335,0.0017789320911858653,0.0013920033711000812,-0.0003247341132530082,0.0025498565680266622,2023_01_04_cell_6
6,2023_01_20_0005.abf,20000.0,0.3469,0.8469,-0.08128418,-0.0813147,-0.081238404,-0.08265419268547558,-0.084259962173428,165129006.32971996,1.3344218576996034e-10,0.017954902351210333,0.000548345593959653,-0.08826356,0.001307591816959025,0.1881736139896985,0,0.07708233887032809,0.07089478680887734,0.035300000000008026,0.39800578176311996,0.9684057231023057,0.0010000000000002275,0.00110000000000025,-0.058810352223681965,-0.05455896133390879,0.03470578176303729,0.02520000000000573,0.05150000000001171,0.034516666666674516,0.03270000000000744,26,0.04903299162657544,,,,,,,,,,,,,,,,,,,,,,,0.02254029608074011,-0.06011389660473547,0.0753273927307419,0.06026169040181233,0.01020000000000232,0.4547057817631328,0.9231814212762397,0.00110000000000025,0.0013000000000002957,-0.057573206939681154,-0.04487737752219489,0.009605781763031562,0.00620000000000141,0.028000000000006367,0.018173076923081056,0.01790000000000407,54,0.02112546571986237,,,,,,,,,,,,,,,,,,,,,,,0.030392881336660772,-0.05226131134881481,2.076923076923077,0.004858893432652039,0.005624926265288565,0.002751391296404357,0.007302641513092226,2023_01_20_cell_2
7,2023_01_20_0009.abf,20000.0,0.3469,0.8469,-0.08423828,-0.08408265,-0.083884284,-0.08446254041064404,-0.08573278676738298,172433558.5727359,2.3460846990228954e-10,0.035430147788034494,0.0014098572640916392,-0.089740604,0.0029637219244940394,0.5238149470098388,0,0.09935017288257698,0.0877508010383447,0.036700000000008344,0.4298057817631271,0.9394403636383508,0.000800000000000182,0.000800000000000182,-0.06356547851554467,-0.05865695846355686,0.03630578176303767,0.036300000000008256,0.046200000000010503,0.03993636363637272,0.038500000000008756,24,0.016664764052537813,,,,,,,,,,,,,,,,,,,,,,,0.012835629501695228,-0.07162691090894881,0.0984000944081266,0.07195885340458184,0.0110000000000025,0.4549057817631329,0.8686451181125675,0.000800000000000182,0.0010000000000002275,-0.0648771207681989,-0.05304267349098201,0.010605781763031785,0.011500000000002616,0.022800000000005184,0.018668000000004244,0.01870000000000425,52,0.00980948767251525,,,,,,,,,,,,,,,,,,,,,,,0.01852891230583724,-0.0659336281048068,2.1666666666666665,0.011034839782802102,0.011355165051696524,0.00936667968752991,0.008893913382588601,2023_01_20_cell_3
8,2023_01_20_0013.abf,20000.0,0.3469,0.8469,-0.07849488,-0.07858033,-0.078754276,-0.07997454139602476,-0.08092339730857939,215653357.15100262,1.0270940640639508e-10,0.02027261787551949,0.0005034392960824906,-0.08725037,0.002112628382585996,0.24366998428167289,0,0.09105108547871185,0.0774489475977447,0.009700000000002205,0.446905781763131,0.9520270024667057,0.0010000000000002275,0.00110000000000025,-0.06596481831867854,-0.05633887710534155,0.00910578176303145,0.01130000000000257,0.028700000000006526,0.024521052631584526,0.026900000000006117,40,0.016348738793123763,,,,,,,,,,,,,,,,,,,,,,,0.015058901947144834,-0.06491563944887993,0.09066069757882471,0.06292872253068933,0.003400000000000773,0.46830578176313586,0.8706126769519518,0.0009000000000002047,0.0013000000000002957,-0.06632473917642889,-0.04708937148931165,0.0028057817630300352,0.005800000000001319,0.02300000000000523,0.01626333333333703,0.016650000000003787,62,0.015964303512346737,,,,,,,,,,,,,,,,,,,,,,,0.020998164224605022,-0.05897637717141974,1.55,0.003344275919602552,0.008192749172516365,0.00046051167806365355,0.008912727321993238,2023_01_20_cell_4
9,2023_02_13_0002.abf,20000.0,0.3469,0.8469,-0.08429016,-0.084078066,-0.084467165,-0.08516616532518312,-0.08652744917156696,181071174.46755233,1.3037415432607614e-10,0.01947223366720815,0.0005933205414025354,-0.09176392,0.0013677036923641223,0.17795075327927062,0,0.07921308607730751,0.06725665061762513,0.0189000000000043,0.43600578176312854,0.9575190926187157,0.00110000000000025,0.0014000000000003183,-0.06566771158846646,-0.058841968535996665,0.018205781763033557,0.01020000000000232,0.03440000000000782,0.02150000000000489,0.02000000000000455,44,0.020870907037858887,,,,,,,,,,,,,,,,,,,,,,,0.02278582292641241,-0.06238034239877071,0.07939777670300538,0.056537620038121995,0.007600000000001728,0.4610057817631342,0.9115771946473016,0.0013000000000002957,0.001600000000000364,-0.06449992675780682,-0.048928025181022836,0.006805781763030927,0.006100000000001387,0.026900000000006117,0.016562068965521006,0.016200000000003684,60,0.0195725746561846,,,,,,,,,,,,,,,,,,,,,,,0.029763331908700806,-0.05540283341648231,1.3636363636363635,0.0017033276367963595,-0.0002710129794851639,-0.0018497840881290843,0.0028444237838162823,2023_02_13_cell_1
10,2023_02_13_0006.abf,20000.0,0.3469,0.8469,-0.0846991,-0.08534607,-0.08494324,-0.08525173071621515,-0.0864260191730605,251256420.08107117,1.0729387692120968e-10,0.02529584494307274,0.0006340054580319101,-0.09458374,0.0033251515957321842,0.35995568240803855,0,0.09983421564807321,0.0746281273882899,0.01720000000000391,0.4443057817631304,0.8825409192653941,0.0010000000000002275,0.001200000000000273,-0.06368611463341403,-0.05249345423239592,0.01660578176303318,0.017000000000003866,0.036700000000008344,0.027282352941182673,0.028000000000006367,36,0.020257596095856888,,,,,,,,,,,,,,,,,,,,,,,0.02111941862520207,-0.06413231209101308,0.09983492680872152,0.055172139116931064,0.0066000000000015005,0.4481057817631313,0.7744173881289935,0.0010000000000002275,0.0015000000000003411,-0.06477181935627314,-0.04569011016776862,0.006105781763030782,0.009000000000002046,0.029700000000006752,0.019633333333337798,0.019850000000004513,50,0.020375753336118192,,,,,,,,,,,,,,,,,,,,,,,0.02641788289890988,-0.058833847817305274,1.3888888888888888,0.005622685415417941,0.0072704532884521385,0.003237195739755748,0.0073364312638411495,2023_02_13_cell_2
11,2023_02_13_0011.abf,20000.0,0.3469,0.8469,-0.08747925,-0.08737244,-0.08732666,-0.08781284184243311,-0.08904535012788294,154320863.1049067,1.1474066126792447e-10,0.01632000581257816,0.0007171856315070542,-0.09414124,0.0009472428370042169,0.13994249977377957,0,0.10369953303013973,0.08852127812662061,0.024200000000005502,0.3207057817631024,0.9350158651742376,0.00110000000000025,0.001200000000000273,-0.06747040852862497,-0.06028198623490825,0.023605781763034794,0.027400000000006232,0.08790000000001999,0.054914285714298204,0.04850000000001103,16,0.0853049050896306,,,,,,,,,,,,,,,,,,,,,,,0.018198736777657792,-0.06961410506477532,0.10352363987216251,0.06812277563531965,0.008100000000001842,0.43590578176312855,0.84212432639372,0.00110000000000025,0.0014000000000003183,-0.06911760213215083,-0.053099111173817486,0.007605781763031116,0.010100000000002296,0.04270000000000971,0.027676470588241586,0.027900000000006343,36,0.03240523480860557,,,,,,,,,,,,,,,,,,,,,,,0.02354960480103431,-0.0642632370413988,2.25,0.002540666985086389,0.005255402789848354,-0.0011483846028520048,0.004996577205974695,2023_02_13_cell_3
12,2023_02_13_0016.abf,20000.0,0.3469,0.8469,-0.084631965,-0.084738776,-0.084848635,-0.08592140201888526,-0.08785832847534873,269920007.22681236,1.0207742089395174e-10,0.025134377704524622,0.00039978332316454733,-0.09421753,0.004017245066063976,0.4238156742020558,0,0.079127665010026,0.06190441739325988,0.021700000000004934,0.4324057817631277,0.9137966379513611,0.001200000000000273,0.0013000000000002957,-0.06069714635204756,-0.05111304870545022,0.02110578176303418,0.012100000000002751,0.037000000000008415,0.0235631578947422,0.024300000000005526,40,0.03638168251586774,,,,,,,,,,,,,,,,,,,,,,,0.029316238428195196,-0.056605163590690066,0.07960661504111831,0.04321708348271047,0.00910000000000207,0.4327057817631278,0.7830965228355032,0.001200000000000273,0.0018000000000004093,-0.06016054824828246,-0.037051792205202966,0.008405781763031306,0.006400000000001456,0.029100000000006617,0.01968260869565665,0.01790000000000407,48,0.027206192398544306,,,,,,,,,,,,,,,,,,,,,,,0.03784683385581456,-0.0480745681630707,1.2,0.003539914194827446,0.0004182543456453516,-0.0009924417262947075,0.005454449929306058,2023_02_13_cell_4
